event_id,origin_time,qlat,qlon,qdep,qmag,qmagtype
10276826,2017-07-18 05:44:09.500,33.063667,-115.562833,10.62,1.55,Ml
10276869,2017-07-18 10:31:28.610,32.936333,-115.527667,9.75,1.51,Ml
10276871,2017-07-18 10:46:52.010,32.867833,-115.507167,5.24,1.62,Ml
10277147,2017-07-19 03:12:01.150,33.166167,-115.966167,9.99,1.46,Ml
10278743,2017-07-24 12:15:54.280,33.1295,-115.602167,11.58,1.43,Ml
10279683,2017-07-26 01:53:52.310,33.234833,-116.091,10.72,2.64,Ml
10279816,2017-07-26 14:01:50.720,33.164333,-115.643,2.98,1.79,Ml
10279822,2017-07-26 14:21:41.490,33.1675,-115.644833,2.54,1.66,Ml
10279998,2017-07-26 19:03:36.350,33.167167,-115.644833,2.98,2.7,Ml
10280000,2017-07-26 19:08:42.550,33.166667,-115.644667,3.21,3.3,ML
10280001,2017-07-26 19:12:14.310,33.172,-115.642833,2.77,2.13,Ml
10280006,2017-07-26 19:23:43.700,33.1725,-115.646667,2.1,1.66,Ml
10280015,2017-07-26 19:43:57.700,33.164667,-115.646333,3.28,3.6,ML
10280017,2017-07-26 19:50:09.410,33.1705,-115.642833,2.79,1.4,Ml
10280019,2017-07-26 19:51:59.220,33.163,-115.6525,2.99,1.7,Ml
10280020,2017-07-26 19:53:20.140,33.165833,-115.642833,2.81,2.1,Ml
10280022,2017-07-26 19:56:34.170,33.166667,-115.645667,3.38,2.06,Ml
10280025,2017-07-26 20:03:33.860,33.175333,-115.643833,2.55,2.21,Ml
10280027,2017-07-26 20:12:12.170,33.175667,-115.6375,2.08,2.17,Ml
10280040,2017-07-26 20:41:44.210,33.1685,-115.652667,2.92,1.41,Ml
10280079,2017-07-26 19:58:12.000,33.1685,-115.6455,1.06,1.59,Ml
10280107,2017-07-26 20:01:13.920,33.16,-115.652,3.1,1.8,Ml
10280111,2017-07-26 20:17:01.310,33.192,-115.633667,1.69,1.44,Ml
10280112,2017-07-26 20:23:01.830,33.176167,-115.644667,2.35,1.6,Ml
10280554,2017-07-26 19:47:03.450,33.186667,-115.642333,2.46,1.87,Ml
10281467,2017-07-29 22:58:48.750,33.263833,-116.0315,3.64,1.42,Ml
10387009,2017-08-02 14:10:09.890,32.905333,-115.506167,7.36,1.5,Ml
10387474,2017-08-03 11:14:21.840,32.9395,-115.553,7.99,1.45,Ml
10387569,2017-08-03 17:16:11.220,33.199333,-115.580833,3.45,1.6,Ml
10390065,2017-08-09 08:18:18.200,33.196167,-116.037333,8.81,1.63,Ml
10390149,2017-08-09 16:03:08.080,32.9185,-115.528,8.02,1.52,Ml
10390969,2017-08-10 22:52:09.670,33.151,-116.043167,5.42,2.94,Ml
10390998,2017-08-11 00:22:36.130,33.2555,-116.092,4.91,2.0,Ml
10391643,2017-08-12 04:25:51.930,33.197833,-115.601333,2.74,1.69,Ml
10391646,2017-08-12 04:39:51.450,33.1945,-115.602333,3.01,1.74,Ml
10391913,2017-08-13 09:43:18.180,33.173833,-116.014667,5.78,1.62,Ml
10392273,2017-08-11 21:17:48.710,33.2315,-115.623667,3.26,1.72,Ml
10392308,2017-08-12 03:32:13.240,33.193,-115.604,2.2,1.61,Ml
10392313,2017-08-12 04:58:25.550,33.194667,-115.602667,2.36,1.63,Ml
10393631,2017-08-17 01:55:10.190,32.9485,-115.859833,7.65,1.4,Ml
10393811,2017-08-17 19:32:39.340,33.188667,-115.602333,2.98,1.64,Ml
10394344,2017-08-19 02:14:48.840,32.9065,-115.520667,9.7,1.69,Ml
10394942,2017-08-21 10:45:45.830,33.188,-116.0245,4.18,1.81,Ml
10395325,2017-08-22 07:33:01.980,33.185,-115.7185,9.31,1.47,Ml
10395608,2017-08-22 22:42:02.150,33.067833,-115.584833,10.96,1.74,Ml
10395887,2017-08-23 20:19:45.570,32.963,-115.5405,8.02,1.52,Ml
10396389,2017-08-25 01:01:02.320,33.239167,-116.051,5.16,1.49,Ml
10396509,2017-08-25 11:10:55.410,33.299333,-115.695833,5.34,1.53,Ml
10397104,2017-08-26 07:28:52.520,32.959833,-115.86,8.48,1.64,Ml
10397342,2017-08-27 03:12:10.800,33.182833,-115.604333,2.94,2.57,Ml
10397348,2017-08-27 03:36:24.450,33.183,-115.604167,3.05,1.51,Ml
10397350,2017-08-27 03:42:52.310,33.183333,-115.599833,2.84,2.23,Ml
